complaint_id,date,product,channel,customer_region,complaint_text
C0001,2025-02-17,Credit Card,Phone,Christchurch,Card delivery took longer than expected
C0002,2025-01-02,Credit Card,Mobile App,Auckland,App was slow during login
C0003,2025-02-05,Credit Card,Email,Wellington,App was slow during login
C0004,2025-01-18,Home Loan,Mobile App,Hamilton,Mobile app crashed once during transfer
C0005,2025-01-14,Credit Card,Email,Hamilton,Card delivery took longer than expected
C0006,2025-02-24,Personal Loan,Phone,Auckland,Statement was confusing to understand
C0007,2025-02-04,Personal Loan,Mobile App,Christchurch,Loan approval process felt delayed
C0008,2025-02-26,Credit Card,Chat,Auckland,Mobile app crashed once during transfer
C0009,2025-02-12,Personal Loan,Mobile App,Wellington,App was slow during login
C0010,2025-01-25,Home Loan,Branch,Auckland,Had to wait too long on customer support
C0011,2025-01-14,Personal Loan,Chat,Christchurch,Scam transfer was not blocked in time
C0012,2025-02-16,Personal Loan,Phone,Dunedin,Payment notification arrived late
C0013,2025-01-15,Home Loan,Email,Hamilton,Payment notification arrived late
C0014,2025-01-26,Personal Loan,Phone,Wellington,Statement was confusing to understand
C0015,2025-02-26,Personal Loan,Phone,Wellington,Mobile app crashed once during transfer
C0016,2025-01-10,Personal Loan,Email,Hamilton,Loan approval process felt delayed
C0017,2025-01-17,Personal Loan,Email,Wellington,Payment notification arrived late
C0018,2025-01-09,Mobile Banking,Chat,Dunedin,Could not update my contact details easily
C0019,2025-01-10,Mobile Banking,Chat,Auckland,Had to wait too long on customer support
C0020,2025-02-08,Home Loan,Chat,Dunedin,Unauthorised debit appeared overnight
C0021,2025-02-13,Savings Account,Mobile App,Christchurch,App was slow during login
C0022,2025-01-08,Credit Card,Mobile App,Christchurch,Statement was confusing to understand
C0023,2025-02-02,Personal Loan,Chat,Wellington,Branch queue was too long
C0024,2025-02-23,Home Loan,Mobile App,Auckland,Branch queue was too long
C0025,2025-02-04,Mobile Banking,Mobile App,Wellington,Refund delay on disputed transaction
C0026,2025-01-08,Mobile Banking,Phone,Dunedin,App was slow during login
C0027,2025-01-06,Personal Loan,Branch,Wellington,Unexpected error caused payment to fail repeatedly
C0028,2025-02-19,Credit Card,Chat,Auckland,Payment notification arrived late
C0029,2025-01-17,Home Loan,Email,Hamilton,Card delivery took longer than expected
C0030,2025-02-18,Mobile Banking,Mobile App,Hamilton,Payment notification arrived late
C0031,2025-01-29,Home Loan,Branch,Hamilton,Statement was confusing to understand
C0032,2025-01-22,Mobile Banking,Chat,Auckland,Had to wait too long on customer support
C0033,2025-01-01,Credit Card,Mobile App,Dunedin,Could not update my contact details easily
C0034,2025-02-25,Credit Card,Phone,Wellington,I saw an unauthorised transaction on my account
C0035,2025-01-14,Personal Loan,Phone,Dunedin,Loan approval process felt delayed
C0036,2025-02-20,Mobile Banking,Email,Dunedin,Could not update my contact details easily
C0037,2025-01-23,Savings Account,Chat,Wellington,Unauthorised debit appeared overnight
